order_id,product_id,product_name,category,quantity,price_per_unit,line_total,sku
ORD000001,PROD001,Azure Journal,Journal,3,244.5,733.5,Yt-75741
ORD000002,PROD023,Chartreuse Notebook,Notebook,4,199.58,798.32,Pt-64761
ORD000002,PROD013,DeepSkyBlue Planner,Planner,4,196.71,786.84,dM-03693
ORD000002,PROD014,DarkBlue Journal,Journal,2,183.85,367.7,Dp-40152
ORD000003,PROD014,DarkBlue Journal,Journal,2,183.85,367.7,Dp-40152
ORD000003,PROD010,PeachPuff Notebook,Notebook,2,232.54,465.08,aM-00094
ORD000003,PROD005,PowderBlue Notebook,Notebook,1,190.67,190.67,mO-77244
ORD000004,PROD003,OliveDrab Planner,Planner,2,198.85,397.7,Ip-25918
ORD000004,PROD021,DodgerBlue Notebook,Notebook,4,261.03,1044.12,ac-47365
ORD000005,PROD013,DeepSkyBlue Planner,Planner,3,196.71,590.13,dM-03693
ORD000005,PROD008,Linen Notebook,Notebook,2,200.95,401.9,Kd-38029
ORD000005,PROD014,DarkBlue Journal,Journal,1,183.85,183.85,Dp-40152
ORD000005,PROD019,LemonChiffon Journal,Journal,4,197.31,789.24,YE-59667
ORD000006,PROD002,Gainsboro Notebook,Notebook,4,271.0,1084.0,Ak-48739
ORD000007,PROD015,DarkMagenta Planner,Planner,1,168.72,168.72,te-17226
ORD000007,PROD017,Coral Planner,Planner,1,133.77,133.77,nv-84293
ORD000007,PROD008,Linen Notebook,Notebook,4,200.95,803.8,Kd-38029
ORD000008,PROD016,LightGoldenRodYellow Journal,Journal,4,157.32,629.28,aO-75690
ORD000009,PROD010,PeachPuff Notebook,Notebook,2,232.54,465.08,aM-00094
ORD000009,PROD002,Gainsboro Notebook,Notebook,3,271.0,813.0,Ak-48739
ORD000009,PROD024,LimeGreen Journal,Journal,3,267.9,803.7,VT-27873
ORD000010,PROD010,PeachPuff Notebook,Notebook,4,232.54,930.16,aM-00094
ORD000011,PROD009,Ivory Planner,Planner,1,208.84,208.84,sE-48042
ORD000011,PROD024,LimeGreen Journal,Journal,1,267.9,267.9,VT-27873
ORD000011,PROD020,DarkBlue Notebook,Notebook,2,303.02,606.04,kB-53902
ORD000012,PROD016,LightGoldenRodYellow Journal,Journal,2,157.32,314.64,aO-75690
ORD000012,PROD017,Coral Planner,Planner,1,133.77,133.77,nv-84293
ORD000013,PROD025,MediumOrchid Journal,Journal,4,259.02,1036.08,Pp-54042
ORD000013,PROD008,Linen Notebook,Notebook,4,200.95,803.8,Kd-38029
ORD000013,PROD024,LimeGreen Journal,Journal,2,267.9,535.8,VT-27873
ORD000013,PROD007,FireBrick Journal,Journal,3,180.72,542.16,vz-96571
ORD000014,PROD016,LightGoldenRodYellow Journal,Journal,2,157.32,314.64,aO-75690
ORD000014,PROD013,DeepSkyBlue Planner,Planner,4,196.71,786.84,dM-03693
ORD000014,PROD016,LightGoldenRodYellow Journal,Journal,3,157.32,471.96,aO-75690
ORD000015,PROD022,Green Journal,Journal,3,193.88,581.64,cT-29909
ORD000015,PROD017,Coral Planner,Planner,1,133.77,133.77,nv-84293
ORD000015,PROD004,CornflowerBlue Planner,Planner,3,169.96,509.88,pW-24977
ORD000015,PROD014,DarkBlue Journal,Journal,3,183.85,551.55,Dp-40152
ORD000016,PROD024,LimeGreen Journal,Journal,2,267.9,535.8,VT-27873
ORD000016,PROD017,Coral Planner,Planner,3,133.77,401.31,nv-84293
ORD000017,PROD001,Azure Journal,Journal,4,244.5,978.0,Yt-75741
ORD000018,PROD002,Gainsboro Notebook,Notebook,1,271.0,271.0,Ak-48739
ORD000018,PROD020,DarkBlue Notebook,Notebook,1,303.02,303.02,kB-53902
ORD000019,PROD013,DeepSkyBlue Planner,Planner,2,196.71,393.42,dM-03693
ORD000019,PROD004,CornflowerBlue Planner,Planner,2,169.96,339.92,pW-24977
ORD000020,PROD023,Chartreuse Notebook,Notebook,3,199.58,598.74,Pt-64761
ORD000020,PROD009,Ivory Planner,Planner,2,208.84,417.68,sE-48042
ORD000020,PROD025,MediumOrchid Journal,Journal,1,259.02,259.02,Pp-54042
ORD000020,PROD009,Ivory Planner,Planner,1,208.84,208.84,sE-48042
ORD000021,PROD003,OliveDrab Planner,Planner,4,198.85,795.4,Ip-25918
ORD000021,PROD007,FireBrick Journal,Journal,4,180.72,722.88,vz-96571
ORD000021,PROD006,Linen Planner,Planner,4,257.23,1028.92,HF-35497
ORD000021,PROD004,CornflowerBlue Planner,Planner,2,169.96,339.92,pW-24977
ORD000022,PROD002,Gainsboro Notebook,Notebook,1,271.0,271.0,Ak-48739
ORD000023,PROD002,Gainsboro Notebook,Notebook,4,271.0,1084.0,Ak-48739
ORD000024,PROD016,LightGoldenRodYellow Journal,Journal,4,157.32,629.28,aO-75690
ORD000024,PROD013,DeepSkyBlue Planner,Planner,1,196.71,196.71,dM-03693
ORD000024,PROD018,Wheat Journal,Journal,2,236.52,473.04,KI-47422
ORD000024,PROD001,Azure Journal,Journal,4,244.5,978.0,Yt-75741
ORD000025,PROD011,Coral Planner,Planner,3,139.26,417.78,Ai-65737
ORD000025,PROD013,DeepSkyBlue Planner,Planner,1,196.71,196.71,dM-03693
ORD000025,PROD021,DodgerBlue Notebook,Notebook,1,261.03,261.03,ac-47365
ORD000026,PROD021,DodgerBlue Notebook,Notebook,2,261.03,522.06,ac-47365
ORD000026,PROD006,Linen Planner,Planner,1,257.23,257.23,HF-35497
ORD000026,PROD013,DeepSkyBlue Planner,Planner,2,196.71,393.42,dM-03693
ORD000027,PROD024,LimeGreen Journal,Journal,2,267.9,535.8,VT-27873
ORD000027,PROD005,PowderBlue Notebook,Notebook,1,190.67,190.67,mO-77244
ORD000027,PROD007,FireBrick Journal,Journal,1,180.72,180.72,vz-96571
ORD000027,PROD024,LimeGreen Journal,Journal,2,267.9,535.8,VT-27873
ORD000028,PROD001,Azure Journal,Journal,1,244.5,244.5,Yt-75741
ORD000028,PROD011,Coral Planner,Planner,1,139.26,139.26,Ai-65737
ORD000028,PROD011,Coral Planner,Planner,1,139.26,139.26,Ai-65737
ORD000028,PROD013,DeepSkyBlue Planner,Planner,1,196.71,196.71,dM-03693
ORD000029,PROD002,Gainsboro Notebook,Notebook,2,271.0,542.0,Ak-48739
ORD000030,PROD006,Linen Planner,Planner,1,257.23,257.23,HF-35497
ORD000031,PROD004,CornflowerBlue Planner,Planner,1,169.96,169.96,pW-24977
ORD000032,PROD011,Coral Planner,Planner,1,139.26,139.26,Ai-65737
ORD000032,PROD022,Green Journal,Journal,2,193.88,387.76,cT-29909
ORD000032,PROD011,Coral Planner,Planner,2,139.26,278.52,Ai-65737
ORD000032,PROD025,MediumOrchid Journal,Journal,1,259.02,259.02,Pp-54042
ORD000033,PROD023,Chartreuse Notebook,Notebook,3,199.58,598.74,Pt-64761
ORD000033,PROD018,Wheat Journal,Journal,2,236.52,473.04,KI-47422
ORD000034,PROD025,MediumOrchid Journal,Journal,2,259.02,518.04,Pp-54042
ORD000034,PROD001,Azure Journal,Journal,4,244.5,978.0,Yt-75741
ORD000034,PROD003,OliveDrab Planner,Planner,1,198.85,198.85,Ip-25918
ORD000034,PROD001,Azure Journal,Journal,2,244.5,489.0,Yt-75741
ORD000035,PROD023,Chartreuse Notebook,Notebook,2,199.58,399.16,Pt-64761
ORD000035,PROD007,FireBrick Journal,Journal,2,180.72,361.44,vz-96571
ORD000035,PROD021,DodgerBlue Notebook,Notebook,3,261.03,783.09,ac-47365
ORD000035,PROD017,Coral Planner,Planner,4,133.77,535.08,nv-84293
ORD000036,PROD021,DodgerBlue Notebook,Notebook,3,261.03,783.09,ac-47365
ORD000037,PROD020,DarkBlue Notebook,Notebook,3,303.02,909.06,kB-53902
ORD000038,PROD002,Gainsboro Notebook,Notebook,2,271.0,542.0,Ak-48739
ORD000038,PROD004,CornflowerBlue Planner,Planner,2,169.96,339.92,pW-24977
ORD000038,PROD022,Green Journal,Journal,4,193.88,775.52,cT-29909
ORD000039,PROD009,Ivory Planner,Planner,3,208.84,626.52,sE-48042
ORD000039,PROD020,DarkBlue Notebook,Notebook,4,303.02,1212.08,kB-53902
ORD000039,PROD002,Gainsboro Notebook,Notebook,1,271.0,271.0,Ak-48739
ORD000039,PROD024,LimeGreen Journal,Journal,1,267.9,267.9,VT-27873
ORD000040,PROD024,LimeGreen Journal,Journal,4,267.9,1071.6,VT-27873
ORD000040,PROD019,LemonChiffon Journal,Journal,3,197.31,591.93,YE-59667
ORD000041,PROD008,Linen Notebook,Notebook,4,200.95,803.8,Kd-38029
ORD000042,PROD005,PowderBlue Notebook,Notebook,2,190.67,381.34,mO-77244
ORD000042,PROD020,DarkBlue Notebook,Notebook,4,303.02,1212.08,kB-53902
ORD000042,PROD006,Linen Planner,Planner,4,257.23,1028.92,HF-35497
ORD000042,PROD012,LightSlateGray Journal,Journal,2,240.87,481.74,xq-26622
ORD000043,PROD009,Ivory Planner,Planner,2,208.84,417.68,sE-48042
ORD000044,PROD020,DarkBlue Notebook,Notebook,2,303.02,606.04,kB-53902
ORD000044,PROD021,DodgerBlue Notebook,Notebook,2,261.03,522.06,ac-47365
ORD000044,PROD019,LemonChiffon Journal,Journal,2,197.31,394.62,YE-59667
ORD000045,PROD001,Azure Journal,Journal,4,244.5,978.0,Yt-75741
ORD000045,PROD024,LimeGreen Journal,Journal,2,267.9,535.8,VT-27873
